FL_DATE,AIRLINE,DEST_CITY,DEP_TIME,TAXI_OUT,TAXI_IN,ARR_TIME,ARR_DELAY,CANCELLATION_CODE,ELAPSED_TIME,AIR_TIME,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_LATE_AIRCRAFT
26-02-2020,Republic Airline,"New York, NY",1723,43,6,1943,23,,140,91,0,2,5
23-04-2022,Southwest Airlines Co.,"Las Vegas, NV",1225,11,7,1410,0,,105,87,,,
20-04-2022,Southwest Airlines Co.,"Dallas, TX",1910,10,5,2005,-15,,55,40,,,
16-02-2019,Republic Airline,"Louisville, KY",2151,20,11,29,-6,,158,127,,,
9/1/2019,SkyWest Airlines Inc.,"Atlanta, GA",542,27,5,645,-1,,63,31,,,
6/11/2020,PSA Airlines Inc.,"Charlotte, NC",1236,11,20,1449,-29,,133,102,,,
2/5/2022,SkyWest Airlines Inc.,"San Francisco, CA",2226,12,4,2338,-21,,72,56,,,
2/3/2021,SkyWest Airlines Inc.,"Detroit, MI",705,24,13,926,-4,,81,44,,,
24-09-2022,Spirit Air Lines,"Houston, TX",529,14,6,1047,-2,,198,178,,,
2/1/2021,Southwest Airlines Co.,"Fort Lauderdale, FL",1427,14,2,2005,35,,218,202,35,0,0
11/7/2020,American Airlines Inc.,"Charlotte, NC",831,15,7,1007,-29,,96,74,,,
19-07-2023,Endeavor Air Inc.,"New York, NY",1530,11,7,1852,-14,,142,124,,,
3/12/2022,American Airlines Inc.,"Dallas/Fort Worth, TX",826,17,18,1212,1,,286,251,,,
13-11-2021,Delta Air Lines Inc.,"Raleigh/Durham, NC",2101,14,7,2218,-4,,77,56,,,
11/5/2023,Spirit Air Lines,"Philadelphia, PA",1827,11,10,2101,-16,,154,133,,,
8/8/2022,JetBlue Airways,"San Juan, PR",808,16,8,1149,-13,,221,197,,,
19-07-2020,American Airlines Inc.,"Dallas/Fort Worth, TX",925,9,23,1116,3,,171,139,,,
9/10/2022,Delta Air Lines Inc.,"Atlanta, GA",1532,13,3,1638,-32,,66,50,,,
14-09-2019,Alaska Airlines Inc.,"Indianapolis, IN",1031,31,4,1731,16,,240,205,16,0,0
21-10-2021,United Air Lines Inc.,"San Francisco, CA",1147,10,6,1342,96,,115,99,0,0,0
25-04-2019,Alaska Airlines Inc.,"Seattle, WA",1922,14,17,2211,-14,,169,138,,,
3/7/2023,Spirit Air Lines,"Houston, TX",1748,13,11,1908,38,,140,116,38,0,0
23-08-2020,United Air Lines Inc.,"Chicago, IL",621,13,13,945,-11,,144,118,,,
21-09-2019,PSA Airlines Inc.,"Washington, DC",1558,18,6,1712,12,,74,50,,,
4/12/2022,Southwest Airlines Co.,"Denver, CO",2149,8,5,46,6,,117,104,,,
9/10/2021,American Airlines Inc.,"Charlotte, NC",1821,17,7,1939,-12,,78,54,,,
8/8/2021,Spirit Air Lines,"Orlando, FL",738,10,9,938,-11,,120,101,,,
23-09-2021,Hawaiian Airlines Inc.,"Honolulu, HI",2015,8,6,2050,-8,,35,21,,,
7/7/2019,Republic Airline,"Charleston, SC",651,17,9,849,-21,,118,92,,,
